CO2_Zone_1,dz1,CO2_Zone_2,CO2_Zone_3,CO2_Zone_4,CO2_Zone_5,CO2_Zone_6,temp_f,press_f,humid_f,pass_f
350.6681712,0,351.7890373,353.95749,355.861014,357.5518624,359.6689584,22,80,0.15176,186
1778.35876,0,1778.433949,1778.35876,1778.471544,1778.396354,1778.333696,22,80,0.15176,186
1721.108556,0,1721.06288,1721.017212,1721.046742,1721.189065,1720.886528,22,80,0.15176,186
1780.543333,0,1780.469128,1780.545301,1780.433498,1780.509669,1780.573307,22,80,0.15176,186
1781.35248,0,1781.277371,1781.352641,1781.239937,1781.315208,1781.377946,22,80,0.15176,186
1367.726966,1,1368.807962,1368.144568,1368.932113,1369.433841,1368.986879,22.0001,79.9999,0.15348,93
1717.977137,1,1718.862702,1718.003877,1718.596191,1718.90278,1718.260727,22.0001,79.9999,0.15348,93
1390.051657,1,1391.255139,1391.014915,1392.112815,1392.6993,1392.706701,22.0015,79.9995,0.27324,93
2788.406344,1,2789.141846,2788.433445,2789.063654,2789.182478,2788.722233,22.0015,79.9995,0.27324,93
2844.029627,1,2844.788648,2844.073671,2844.757483,2844.839662,2844.362824,22.0015,79.9995,0.27324,93
2242.020736,1,2136.422793,2140.644687,2145.301205,2150.531419,2154.814521,22,80,0.15176,186
5226.430412,1,5312.466509,5226.284316,5226.285631,5225.986,5226.244376,22,80,0.15176,186
5204.417828,1,5204.756122,5204.567763,5290.51524,5204.869885,5204.612552,22,80,0.15176,186
5204.418479,1,5204.756772,5204.568413,5290.515889,5204.870533,5204.6132,22,80,0.15176,186
5771.5081,1,5771.837032,5873.876754,5771.804717,5772.103346,5771.955464,22,80,0.15176,186
1920.343208,1,1920.395411,1920.552278,1921.813858,1921.834174,1922.726111,22,80,0.13887,170
1955.29849,1,1956.10271,1956.499918,1957.768382,1958.532088,1959.19582,22,80,0.13887,170
1968.638363,1,1968.873123,1969.302709,1970.190296,1970.460633,1971.257899,22,80,0.13887,170
1996.847318,1,1996.8736,1996.839464,1997.316373,1997.37194,1997.572615,22,80,0.13887,170
1934.886206,1,1934.981689,1935.016676,1935.562627,1935.687162,1935.956728,22,80,0.13887,170
2014.984812,-1,2014.304628,2013.720744,2014.236778,2013.51009,2013.656392,22,80,0.13887,170
2428.74264,-1,2427.732394,2426.313218,2425.765827,2424.715665,2423.568282,22,80,0.13887,170
1933.710891,-1,1933.107162,1932.608831,1933.215947,1932.582527,1932.821459,22,80,0.13887,170
1948.664023,-1,1948.032946,1947.342185,1947.163198,1946.563606,1946.109852,22,80,0.13887,170
2098.777403,-1,2097.904328,2097.22732,2097.009559,2096.17577,2095.870153,22,80,0.13887,170
