CO2_Zone_1,dz1,CO2_Zone_2,CO2_Zone_3,CO2_Zone_4,CO2_Zone_5,CO2_Zone_6,temp_f,press_f,humid_f,pass_f
855.6928945,0.00E+00,854.610339,855.5876456,855.1140273,855.1140271,856.1477167,22,80,0.058074,70
852.7624429,0,851.4769346,852.4768195,852.1535818,852.1536071,853.0971088,22,80,0.058074,70
929.7872431,0,928.2047187,929.4113141,929.009091,929.0692154,930.0270955,22,80,0.058074,70
352.001738,0,352.9066922,354.1902945,355.247421,354.1311484,357.5279227,22,80,0.04,93
1138.797016,1,1149.043175,1140.043684,1140.339404,1138.898064,1141.471035,22,80,0.077504,93
2438.904134,1,2438.76041,2439.488991,2472.918331,2437.611359,2439.998065,22,80,0.077504,93
1008.733312,1,1009.185481,1011.725907,1012.783569,1014.343207,1016.90226,22,80,0.058074,70
1109.678648,1,1110.21176,1113.065902,1114.579772,1116.414867,1119.20647,22,80,0.058074,70
1163.535359,-1,1161.983229,1162.536606,1161.827356,1161.449327,1161.958862,22,80,0.058074,70
941.3463566,-1,939.7509211,940.9446255,940.5295224,940.576782,941.5218136,22,80,0.058074,70
1283.28098,-1,1282.934635,1283.317869,1283.00972,1280.965144,1282.935649,22,80,0.077504,93
