CO2_Zone_1,dz1,CO2_Zone_2,dz2,CO2_Zone_3,dz3,CO2_Zone_4,dz4,CO2_Zone_5,dz5,CO2_Zone_6,dz6,temp_f,press_f,humid_f,pass_f,class_0,class_1,class_2,class_3,class_4
303.1233182,3.123318221,303.6663885,3.666388549,304.6763066,4.676306552,305.6229464,5.622946354,304.5492352,4.549235206,307.8170139,7.817013858,22,80,0.04,93,1,0,0,0,0
308.1061172,4.982798952,308.9478927,5.281504116,310.2172616,5.540955063,311.3027979,5.679851523,310.238226,5.688990756,313.6890963,5.872082461,22,80,0.04,93,1,0,0,0,0
313.6032801,5.497162977,314.5276826,5.579789922,315.8449683,5.627706645,316.9444404,5.6416425,315.8737287,5.635502701,319.3160092,5.626912874,22,80,0.04,93,1,0,0,0,0
319.1829313,5.579651109,320.1205845,5.59290194,321.4399769,5.595008627,322.5341966,5.589756216,321.455148,5.581419333,324.888743,5.572733857,22,80,0.04,93,1,0,0,0,0
324.74522,5.562288747,325.6800842,5.559499695,326.9941113,5.554134376,328.0817651,5.547568544,326.9959376,5.54078965,330.4230084,5.534265346,22,80,0.04,93,1,0,0,0,0
330.2720687,5.526848709,331.2012399,5.521155679,332.5091078,5.514996518,333.5904748,5.508709619,332.4984031,5.502465464,335.9193199,5.496311501,22,80,0.04,93,1,0,0,0,0
335.7610628,5.488994083,336.6841531,5.482913177,337.9858781,5.476770322,339.0611046,5.470629871,337.962914,5.464510896,341.3777362,5.458416295,22,80,0.04,93,1,0,0,0,0
341.212173,5.451110189,342.1291777,5.445024583,343.4248167,5.438938578,344.4939661,5.432861492,343.3897066,5.426792547,346.7984721,5.420735879,22,80,0.04,93,1,0,0,0,0
346.6256442,5.413471185,347.5366026,5.40742492,348.826202,5.401385328,349.8893191,5.395352979,348.7790323,5.389325791,352.1817816,5.383309525,22,80,0.04,93,1,0,0,0,0
352.001738,5.376093815,352.9066922,5.370089578,354.1902945,5.364092445,355.247421,5.358101922,354.1311484,5.352116104,357.5279227,5.34614112,22,80,0.04,93,1,0,0,0,0
357.3407131,5.338975142,358.2397046,5.333012463,359.5173513,5.32705681,360.5685286,5.32110761,359.4463115,5.315163048,362.837152,5.309229276,22,80,0.04,93,1,0,0,0,0
362.6428259,5.302112763,363.5358959,5.296191255,364.807628,5.29027671,365.8528972,5.284368559,364.7247765,5.278465014,368.1097242,5.272572195,22,80,0.04,93,1,0,0,0,0
367.9083307,5.265504799,368.79552,5.259624162,370.0613784,5.253750435,371.1007802,5.247883059,369.9667968,5.242020256,373.3458923,5.236168109,22,80,0.04,93,1,0,0,0,0
373.1374802,5.22914949,374.0188295,5.22330944,375.2788547,5.217476253,376.3124296,5.211649372,375.1726238,5.205827032,378.5459076,5.200015278,22,80,0.04,93,1,0,0,0,0
378.3305253,5.1930451,379.2060748,5.187245358,380.4603071,5.181452432,381.4880954,5.175665768,380.3425074,5.169883614,383.7100195,5.164111975,22,80,0.04,93,1,0,0,0,0
383.4877152,5.157189906,384.357505,5.151430194,385.6059843,5.145677253,386.6280259,5.139930531,385.4766957,5.134188285,388.838476,5.128456486,22,80,0.04,93,1,0,0,0,0
388.6092974,5.121582194,389.4733673,5.115862239,390.7161334,5.110149007,391.7324679,5.104441951,390.575435,5.09873934,393.9315231,5.093047106,22,80,0.04,93,1,0,0,0,0
393.6955176,5.086220265,394.5539071,5.080539792,395.7909993,5.074865996,396.8016662,5.069198334,395.6389701,5.063535086,398.9894053,5.057882145,22,80,0.04,93,1,0,0,0,0
398.7466201,5.051102426,399.5993682,5.045461164,400.8308259,5.039826534,401.8358642,5.034197995,400.667544,5.028573838,404.0123652,5.02295992,22,80,0.04,93,1,0,0,0,0
403.7628471,5.016227,404.6099929,5.010624679,405.8358548,5.005028945,406.8353035,4.99943926,405.6613979,4.993853925,409.000644,4.988278761,22,80,0.04,93,1,0,0,0,0
408.7444394,4.981592319,409.5860216,4.976028671,410.8063264,4.970471565,411.8002239,4.964920466,410.6207716,4.959373687,413.954481,4.953837011,22,80,0.04,93,1,0,0,0,0
413.6916361,4.947196725,414.5276931,4.941671485,415.7424791,4.936152741,416.7308639,4.930639963,415.545903,4.925131474,418.874114,4.91963302,22,80,0.04,93,1,0,0,0,0
418.6046747,4.913038574,419.4352445,4.907551476,420.64455,4.90207083,421.62746,4.896596109,420.4370287,4.891125647,423.7597791,4.885665152,22,80,0.04,93,1,0,0,0,0
423.4837909,4.87911623,424.3089115,4.873667012,425.5127742,4.868224202,426.4902473,4.862787276,425.2943833,4.857354578,428.6117109,4.851931781,22,80,0.04,93,1,0,0,0,0
428.329219,4.845428069,429.148928,4.84001647,430.3473854,4.834611235,431.3194591,4.829211844,430.1181999,4.82381665,433.4301422,4.818431291,22,80,0.04,93,1,0,0,0,0
433.1411915,4.811972479,433.9555263,4.80659824,435.1486157,4.801230321,436.1153273,4.795868206,434.9087102,4.790510259,438.2153043,4.78516208,22,80,0.04,93,1,0,0,0,0
437.9199393,4.778747857,438.728937,4.773410721,439.9166956,4.768079861,440.8780821,4.762754765,439.666144,4.757433807,442.9674268,4.752122552,22,80,0.04,93,1,0,0,0,0
442.6656919,4.745752612,443.4693893,4.740452323,444.6518538,4.735158267,445.607952,4.729869934,444.3907297,4.724585712,447.686738,4.719311126,22,80,0.04,93,1,0,0,0,0
447.3786771,4.712985163,448.1771108,4.707721467,449.3543178,4.702463961,450.3051642,4.697212139,449.0826941,4.691964398,452.3734642,4.686726229,22,80,0.04,93,1,0,0,0,0
452.059121,4.68044394,452.8523274,4.675216585,454.0243132,4.669995377,454.969944,4.664779814,453.7422624,4.659568304,457.0278305,4.6543663,22,80,0.04,93,1,0,0,0,0
456.7072484,4.648127384,457.4952635,4.642936119,458.6620641,4.637750959,459.6025154,4.632571406,458.3696583,4.627395876,461.6500603,4.622229788,22,80,0.04,93,1,0,0,0,0
461.3232824,4.616033946,462.106142,4.610878523,463.2677933,4.605729162,464.2031007,4.600585369,462.9651038,4.595445572,466.2403754,4.590315152,22,80,0.04,93,1,0,0,0,0
465.9074445,4.584162088,466.6851843,4.579042259,467.8417218,4.573928451,468.7719209,4.568820172,467.5288197,4.56371586,470.7989963,4.558620863,22,80,0.04,93,1,0,0,0,0
470.4599547,4.552510281,471.2326101,4.547425801,472.3840691,4.5423473,473.3091952,4.537274291,472.0610249,4.53220522,475.3261417,4.527145402,22,80,0.04,93,1,0,0,0,0
474.9810317,4.521077009,475.7486377,4.516027633,476.8950533,4.510984197,477.8151414,4.505946213,476.5619371,4.500912141,479.822029,4.495887258,22,80,0.04,93,1,0,0,0,0
479.4708925,4.489860763,480.2334839,4.48484625,481.3748909,4.479837636,482.2899759,4.474834436,481.0317722,4.469835121,484.2868739,4.464844933,22,80,0.04,93,1,0,0,0,0
483.9297526,4.458860047,484.6873641,4.453880157,485.823797,4.448906124,486.7339133,4.443937469,485.4707449,4.438972671,488.7208908,4.434016938,22,80,0.04,93,1,0,0,0,0
488.3578259,4.428073374,489.110492,4.423127868,490.2419852,4.418188178,491.1471672,4.413253829,489.8790682,4.40832331,493.1242926,4.403401794,22,80,0.04,93,1,0,0,0,0
492.7553252,4.397499268,493.5030799,4.392587908,494.6296675,4.387682325,495.5299492,4.382782045,494.2569537,4.377885569,497.4972907,4.372998034,22,80,0.04,93,1,0,0,0,0
497.1224615,4.367136262,497.8653387,4.362258812,498.9870546,4.3573871,499.8824699,4.352520654,498.6046117,4.347657986,501.8400949,4.342804198,22,80,0.04,93,1,0,0,0,0
501.4594444,4.336982898,502.1974778,4.332139126,503.3143557,4.327301051,504.2049381,4.322468206,502.9222508,4.317639112,506.1529137,4.312818838,22,80,0.04,93,1,0,0,0,0
505.7664821,4.307037732,506.4997052,4.302227404,507.6117784,4.297422734,508.4975613,4.292623258,507.2100783,4.287827507,510.4359542,4.283040515,22,80,0.04,93,1,0,0,0,0
510.0437814,4.277299326,510.7722274,4.272522211,511.8795291,4.267750716,512.7605457,4.262984379,511.4683001,4.25822174,514.689422,4.253467801,22,80,0.04,93,1,0,0,0,0
514.2915477,4.247766252,515.0152495,4.243022122,516.1178127,4.238283572,516.9940958,4.233550146,515.6971205,4.228820391,518.9135213,4.224099277,22,80,0.04,93,1,0,0,0,0
518.5099848,4.218437095,519.2289753,4.213725721,520.3268326,4.20901989,521.198415,4.204319146,519.8967425,4.199622049,523.1084548,4.194933533,22,80,0.04,93,1,0,0,0,0
522.6992952,4.189310447,523.4136069,4.184631604,524.5067908,4.179958265,525.373705,4.175289978,524.0673678,4.170625312,527.274424,4.16596917,22,80,0.04,93,1,0,0,0,0
526.8596801,4.160384909,527.5693452,4.155738372,528.6578881,4.151097301,529.5201662,4.146461248,528.2091966,4.14182879,531.4116288,4.137204797,22,80,0.04,93,1,0,0,0,0
530.9913392,4.131659094,531.6963899,4.12704464,532.7803238,4.122435615,533.6379978,4.117831572,532.3224277,4.1132311,535.5202678,4.108639035,22,80,0.04,93,1,0,0,0,0
535.0944708,4.103131624,535.7949389,4.098549031,536.8742956,4.09397183,537.7273974,4.089399577,536.4072586,4.08483087,539.6005383,4.080270512,22,80,0.04,93,1,0,0,0,0
539.169272,4.074801128,539.8651891,4.070250177,540.9400002,4.065704581,541.7885613,4.061163898,540.4638853,4.056626736,543.6526362,4.052097867,22,80,0.04,93,1,0,0,0,0
543.2159382,4.046666248,543.9073358,4.04214672,544.9776327,4.03763251,545.8216844,4.03312318,544.4925027,4.028617346,547.676756,4.024119748,22,80,0.04,93,1,0,0,0,0
547.2346638,4.018725632,547.9215731,4.014237311,548.987387,4.00975427,549.8269605,4.005276076,548.493304,4.000801354,551.6730908,3.996334811,22,80,0.04,93,1,0,0,0,0
551.2256418,3.99097794,551.9080937,3.98652061,552.9694555,3.982068524,553.8045818,3.97762125,552.4664815,3.973177425,555.6418325,3.968741723,22,80,0.04,93,1,0,0,0,0
555.1890636,3.96342184,555.867089,3.958995287,556.9240294,3.954573941,557.7547391,3.950157375,556.4122257,3.945744234,559.5831716,3.941339159,22,80,0.04,93,1,0,0,0,0
559.1251196,3.936056009,559.798749,3.93166002,560.8512986,3.927269203,561.6776223,3.922883133,560.3307262,3.918500463,563.4972975,3.914125805,22,80,0.04,93,1,0,0,0,0
563.0339988,3.908879133,563.7032625,3.904513498,564.7514516,3.900152999,565.5734195,3.895797213,564.222171,3.891444804,567.3843978,3.887100353,22,80,0.04,93,1,0,0,0,0
566.9158887,3.881889909,567.580817,3.877554417,568.6246756,3.873224026,569.4423178,3.868898317,568.0867469,3.86457596,571.2446593,3.860261506,22,80,0.04,93,1,0,0,0,0
570.7709757,3.855087039,571.4315984,3.850781483,572.4711566,3.846480993,573.284503,3.842185152,571.9246396,3.83789264,575.0782673,3.833607977,22,80,0.04,93,1,0,0,0,0
574.599445,3.828469238,575.2557918,3.824193411,576.2910793,3.819922615,577.1001594,3.815656436,575.7360331,3.811393563,578.8854058,3.807138484,22,80,0.04,93,1,0,0,0,0
578.4014802,3.802035228,579.0535808,3.797788925,580.0846269,3.793547618,580.8894703,3.789310895,579.5211106,3.785077457,582.6662575,3.780851759,22,80,0.077504,93,1,0,0,0,0
582.1772639,3.775783739,582.8251475,3.771566756,583.8519816,3.767354734,584.6526176,3.763147266,583.2800536,3.758943058,586.4210041,3.754746538,22,80,0.077504,93,1,0,0,0,0
585.9269774,3.749713512,586.5706732,3.745525647,587.5933243,3.741342708,588.3897819,3.737164291,587.0130428,3.732989113,590.1498256,3.728821569,22,80,0.077504,93,1,0,0,0,0
589.6508007,3.723823295,590.2903375,3.719664346,591.3088346,3.71551029,592.1011426,3.711360724,590.7202571,3.707214374,593.8529012,3.703075607,22,80,0.077504,93,1,0,0,0,0
593.3489126,3.698111845,593.9843191,3.693981612,594.9986908,3.689856239,595.7868779,3.685735325,594.4018747,3.681617605,597.5304087,3.677507415,22,80,0.077504,93,1,0,0,0,0
597.0214905,3.672577927,597.6527953,3.668476213,598.6630702,3.664379324,599.4471648,3.660286865,598.0580723,3.656197576,601.1825244,3.652115767,22,80,0.077504,93,1,0,0,0,0
600.6687108,3.647220316,601.2959423,3.643146923,602.3021485,3.639078323,603.0821789,3.635014121,601.6890254,3.630953068,604.8094239,3.626899443,22,80,0.077504,93,1,0,0,0,0
604.2907486,3.622037794,604.9139348,3.617992527,605.9161005,3.61395202,606.6920948,3.60991588,605.2949082,3.605882868,608.4112811,3.601857232,22,80,0.077504,93,1,0,0,0,0
607.8877778,3.597029152,608.5069466,3.593011817,609.5050997,3.588999208,610.2770857,3.584990938,608.875894,3.580985773,611.988269,3.576987933,22,80,0.077504,93,1,0,0,0,0
611.459971,3.572193189,612.0751502,3.568203593,613.0693184,3.564218691,613.8373238,3.560238097,612.4321546,3.556260586,615.5405594,3.552290351,22,80,0.077504,93,1,0,0,0,0
615.0074997,3.547528714,615.6187169,3.543566665,616.6089277,3.539609278,617.37298,3.535656169,615.9638607,3.531706122,619.0683227,3.527763301,22,80,0.077504,93,1,0,0,0,0
618.5305342,3.523034542,619.1378167,3.51909985,620.1240975,3.515169788,620.8842239,3.511243974,619.4711819,3.507321201,622.5717283,3.503405604,22,80,0.077504,93,1,0,0,0,0
622.0292437,3.498709496,622.6326187,3.494801973,623.6149965,3.490899047,624.3712243,3.48700034,622.9542866,3.483104653,626.0509444,3.479216093,22,80,0.077504,93,1,0,0,0,0
625.5037961,3.47455241,626.1032906,3.470671867,627.0817924,3.46679589,627.8341484,3.462924103,626.4133419,3.459055315,629.506138,3.455193604,22,80,0.077504,93,1,0,0,0,0
628.9543582,3.450562123,629.5499989,3.446708374,630.5246516,3.44285916,631.2731625,3.439014106,629.8485139,3.435172032,632.937475,3.431336985,22,80,0.077504,93,1,0,0,0,0
632.3810957,3.426737483,632.9729093,3.422910344,633.9437393,3.419087708,634.6884317,3.415269203,633.2599676,3.411453657,636.3451201,3.40764509,22,80,0.077504,93,1,0,0,0,0
635.7841731,3.403077347,636.3721859,3.399276633,637.3392197,3.395480391,638.0801199,3.391688253,636.6478666,3.387899052,639.7292368,3.384116783,22,80,0.077504,93,1,0,0,0,0
639.1637536,3.379580579,639.747992,3.375806108,640.7112557,3.372036078,641.4483901,3.368270123,640.0123737,3.364507086,643.0899878,3.360750932,22,80,0.077504,93,1,0,0,0,0
